timestamp;source;destination;port_source;port_destination;details;protocole;flags;length
11:42:29.649883;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 49120:50568, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649884;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 50568, win 1043, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649888;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 50568:52016, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649890;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 52016, win 1066, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649893;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 52016:53464, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649895;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 53464, win 1088, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649899;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 53464:54912, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649900;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 54912, win 1111, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649905;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 54912:56360, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649906;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 56360, win 1134, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649910;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 56360:57808, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649912;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 57808, win 1131, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649916;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 57808:59256, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
